Time (sec),filt465,filt405
209.757143,142.1837769,51.18762347
209.8200576,143.5530616,51.31028071
209.8829722,144.3321278,51.47751362
209.9458868,144.0492816,51.53312502
210.0088012,144.3008385,51.43203515
210.0717158,147.3662782,51.26878443
210.1346304,152.8407413,51.16523902
210.197545,157.9523125,51.13257394
210.2604594,160.0162558,51.12983247
210.323374,158.8124658,51.08025488
210.3862886,156.9035368,50.95257227
210.4492032,156.5701553,50.82031584
210.5121179,157.4030133,50.7583387
210.5750324,157.8140328,50.7827608
210.6379468,157.4537319,50.87222294
210.7008614,157.3361401,50.9632659
210.7637761,157.7518863,50.96409472
210.8266906,156.9449404,50.92154897
210.889605,153.7168655,50.95000727
210.9525196,149.1888464,51.09219364
211.0154343,145.7086559,51.26529902
211.0783488,144.7081268,51.27942401
211.1412632,145.4301395,51.13262748
211.2041778,145.6929621,51.00223097
211.2670925,144.0275108,50.95576457
211.330007,141.463388,50.94435239
211.3929217,140.5436694,50.93450962
211.4558362,142.9535207,50.93423587
211.5187507,148.6306982,50.99619089
211.5816652,156.0024642,51.15582169
211.6445799,162.0793182,51.31132091
211.7074944,164.2183803,51.24818912
211.7704089,161.9235549,50.99067337
211.8333234,157.4892313,50.76981349
211.8962381,153.9314141,50.74464408
211.9591526,151.7386896,50.84022531
212.0220673,149.6824414,50.95078913
212.0849819,147.2170153,51.01813014
212.1478963,144.9561267,51.00616124
212.2108108,143.3252435,50.99718808
212.2737255,142.1066368,51.11095652
212.3366401,141.4558246,51.29768049
212.3995545,142.1682369,51.35512775
212.462469,144.3378606,51.17443535
212.5253837,146.1873936,50.92331411
212.5882983,146.7411252,50.91368241
212.6512127,147.2681771,51.17387792
212.7141273,149.1372896,51.42328945
212.7770419,152.0835393,51.43333415
212.8399565,155.6984524,51.2140979
212.9028711,160.1354411,50.9025154
212.9657857,164.6631557,50.67811504
213.0287001,167.4648975,50.66993792
213.0916147,167.152212,50.8547496
213.1545293,164.6031347,51.07377458
213.2174439,161.8875617,51.19560631
213.2803583,160.5778297,51.25021427
213.3432729,160.6252282,51.31375978
213.4061875,160.8677507,51.39565175
213.4691021,160.4563405,51.30241021
213.5320168,159.4970296,51.06580028
213.5949313,158.5886901,50.95111969
213.6578457,158.3245869,51.01643721
213.7207603,158.3534272,51.07990118
213.783675,157.8431621,51.01022666
213.8465895,156.892854,50.85200937
213.9095039,157.2688386,50.79374117
213.9724185,161.3731356,50.93943552
214.0353332,168.844298,51.11500232
214.0982477,175.8763478,51.13747249
214.1611621,178.8876298,51.05014806
214.2240767,178.2511971,51.05232922
214.2869914,177.8829695,51.19431274
214.3499059,180.7275392,51.24678453
214.4128206,186.6047025,51.05659071
214.4757351,193.0763648,50.78157683
214.5386496,196.9877406,50.68052589
214.6015641,196.6250743,50.78855217
214.6644788,193.3779983,50.98012001
214.7273933,191.1960471,51.05626118
214.7903078,192.7579692,50.94891771
214.8532223,196.6105387,50.78940709
214.916137,197.9970092,50.7215964
214.9790515,194.3040774,50.76051294
215.041966,187.5281709,50.85282121
215.1048805,181.4921813,50.9115875
215.1677952,178.1861342,50.88629922
215.2307097,176.7725635,50.94995632
215.2936244,175.4787776,51.17560855
215.356539,173.7230921,51.38644686
215.4194534,172.3889411,51.41741588
215.4823679,171.0197059,51.26848122
215.5452826,168.5548082,51.06503505
215.6081972,164.9569502,51.00305469
215.6711116,160.9693057,51.08308678
215.7340261,157.7735662,51.18192305
215.7969408,155.8416509,51.0904886
215.8598554,155.1574475,50.7592347
215.92277,154.9798044,50.51174297
215.9856846,154.2336863,50.65613663
216.048599,152.3658965,51.04125495
216.1115136,149.8548276,51.22169054
216.1744282,147.9834374,50.99664774
216.2373428,147.2793088,50.57280834
216.3002572,147.2654724,50.37683778
216.3631718,147.2878366,50.5756411
216.4260864,146.8200425,50.92289107
216.489001,145.8563896,51.071354
216.5519154,144.5562363,50.95259596
216.61483,143.288547,50.77980008
216.6777446,142.7535634,50.77069786
216.7406592,142.9311806,50.87932516
216.8035738,142.9414343,50.96711129
216.8664884,142.0870301,50.98280328
216.9294028,140.4868603,50.94779808
216.9923174,138.9430277,50.88134561
217.055232,138.7056058,50.87177828
217.1181466,139.8036347,50.9306795
217.181061,140.6166143,50.96691555
217.2439756,140.150883,50.96489624
